id,idprato,quantidade,idespaco
601,7,3,4
602,4,10,4
603,19,3,4
604,23,9,4
605,9,6,4
606,20,2,4
607,14,5,4
608,1,9,4
609,23,9,4
610,21,1,4
611,13,1,4
612,23,7,4
613,13,2,4
614,13,5,4
615,18,3,4
616,3,2,4
617,23,10,4
618,2,7,4
619,3,9,4
620,2,3,4
621,22,1,4
622,5,5,4
623,6,4,4
624,6,7,4
625,3,10,4
626,9,9,4
627,13,4,4
628,1,8,4
629,13,1,4
630,10,8,4
631,1,8,4
632,7,9,4
633,19,2,4
634,20,3,4
635,8,10,4
636,10,3,4
637,1,9,4
638,13,1,4
639,1,5,4
640,21,3,4
641,11,3,4
642,3,5,4
643,16,2,4
644,3,1,4
645,16,6,4
646,21,8,4
647,1,5,4
648,3,3,4
649,6,2,4
650,8,3,4
651,1,3,4
652,6,4,4
653,2,9,4
654,2,8,4
655,13,5,4
656,12,6,4
657,3,3,4
658,9,4,4
659,21,7,4
660,22,7,4
661,6,1,4
662,3,5,4
663,18,9,4
664,16,5,4
665,8,5,4
666,18,4,4
667,10,5,4
668,4,10,4
669,5,9,4
670,16,8,4
671,20,6,4
672,6,4,4
673,8,4,4
674,17,3,4
675,3,3,4
676,22,5,4
677,2,7,4
678,20,6,4
679,11,9,4
680,11,5,4
681,21,9,4
682,3,1,4
683,9,2,4
684,1,3,4
685,2,4,4
686,20,8,4
687,9,5,4
688,10,1,4
689,5,1,4
690,2,9,4
691,10,4,4
692,15,3,4
693,20,9,4
694,17,4,4
695,14,3,4
696,22,7,4
697,18,1,4
698,18,2,4
699,20,9,4
700,13,6,4
701,10,9,4
702,14,7,4
703,9,2,4
704,14,8,4
705,18,3,4
706,11,9,4
707,11,8,4
708,12,6,4
709,6,2,4
710,17,3,4
711,17,10,4
712,4,1,4
713,18,6,4
714,6,3,4
715,5,8,4
716,10,4,4
717,22,9,4
718,19,4,4
719,5,3,4
720,10,1,4
721,10,1,4
722,4,8,4
723,19,7,4
724,22,10,4
725,16,8,4
726,19,9,4
727,4,5,4
728,4,9,4
729,6,8,4
730,5,10,4
731,22,6,4
732,20,3,4
733,7,10,4
734,18,10,4
735,9,6,4
736,5,9,4
737,8,3,4
738,18,1,4
739,2,7,4
740,22,5,4
741,21,9,4
742,11,7,4
743,15,2,4
744,18,5,4
745,15,5,4
746,19,10,4
747,15,1,4
748,9,6,4
749,22,3,4
750,23,9,4
751,1,1,4
752,18,1,4
753,10,8,4
754,21,5,4
755,3,1,4
756,6,2,4
757,19,3,4
758,13,1,4
759,14,2,4
760,15,2,4
761,8,4,4
762,20,4,4
763,15,6,4
764,21,10,4
765,21,3,4
766,10,4,4
767,2,4,4
768,17,8,4
769,7,2,4
770,21,8,4
771,16,9,4
772,1,3,4
773,20,9,4
774,21,3,4
775,1,10,4
776,14,1,4
777,9,5,4
778,2,9,4
779,1,7,4
780,1,9,4
781,13,10,4
782,4,8,4
783,8,3,4
784,15,8,4
785,16,1,4
786,5,1,4
787,15,5,4
788,19,6,4
789,5,3,4
790,9,10,4
791,7,4,4
792,16,3,4
793,6,8,4
794,17,6,4
795,1,3,4
796,16,2,4
797,5,1,4
798,19,3,4
799,11,2,4
800,11,6,4
