idProduto,nota,comentario,codcliente,espacoalimentar
1,2,Cloned 5th generation solution,39,5
2,3,User-centric tertiary initiative,31,3
3,8,Optimized optimizing extranet,38,5
4,5,Synergistic next generation encryption,8,2
5,4,Streamlined high-level help-desk,14,1
6,6,Triple-buffered incremental encryption,25,1
7,5,Versatile bandwidth-monitored system engine,31,1
8,3,Pre-emptive bifurcated approach,26,1
9,2,Stand-alone actuating success,38,5
10,3,Right-sized coherent initiative,96,3
11,1,Enhanced bottom-line model,69,1
12,10,Right-sized 3rd generation concept,58,4
13,2,Ameliorated mobile Graphic Interface,63,5
14,1,Self-enabling multi-state migration,69,5
15,3,Exclusive demand-driven toolset,51,1
16,5,Organized background instruction set,21,3
17,3,Monitored 24/7 encryption,39,3
18,7,Multi-lateral bi-directional productivity,36,1
19,1,Synergized zero administration alliance,60,3
20,9,Vision-oriented dedicated matrix,29,3
21,7,Operative static analyzer,85,3
22,10,Expanded neutral adapter,100,4
23,4,Customer-focused eco-centric artificial intelligence,51,4
24,8,Ergonomic scalable firmware,65,3
25,5,Advanced optimal adapter,51,4
26,2,Re-contextualized analyzing software,40,2
27,6,Cross-group regional archive,72,2
28,2,Fully-configurable bottom-line portal,60,5
29,9,Proactive didactic Graphical User Interface,42,4
30,7,Synergistic system-worthy data-warehouse,4,5
31,8,Cross-group national solution,43,4
32,4,Decentralized needs-based info-mediaries,29,4
33,3,Advanced mobile info-mediaries,58,2
34,2,Intuitive empowering parallelism,0,3
35,2,Multi-channelled directional conglomeration,42,3
36,7,Phased zero defect core,35,1
37,5,Optimized local algorithm,30,3
38,9,Grass-roots actuating process improvement,7,2
39,4,Polarised mobile methodology,31,5
40,10,Reactive real-time task-force,93,1
41,8,Self-enabling leading edge initiative,2,2
42,9,Devolved well-modulated paradigm,5,1
43,2,Automated responsive ability,87,1
44,6,Business-focused motivating website,6,5
45,1,Reduced dynamic forecast,27,2
46,3,Right-sized directional forecast,52,3
47,1,Down-sized maximized functionalities,83,5
48,1,Upgradable client-server extranet,74,4
49,3,Reduced asynchronous solution,81,2
50,6,Secured uniform support,20,5
51,1,Proactive systemic paradigm,38,1
52,7,Profit-focused zero administration budgetary management,67,3
53,3,User-friendly full-range framework,57,4
54,3,Exclusive 5th generation process improvement,91,1
55,3,Extended disintermediate middleware,9,3
56,10,Cross-platform neutral capacity,34,5
57,8,Intuitive homogeneous paradigm,15,5
58,10,Future-proofed secondary neural-net,1,2
59,5,Multi-tiered directional hierarchy,33,2
60,5,Pre-emptive static attitude,11,1
61,10,Profit-focused intangible structure,54,1
62,4,Vision-oriented heuristic service-desk,23,3
63,5,Networked bifurcated data-warehouse,80,5
64,8,Implemented cohesive solution,90,4
65,8,Mandatory client-server time-frame,61,5
66,8,Exclusive multi-state model,74,3
67,2,De-engineered object-oriented support,2,2
68,4,Polarised next generation project,75,5
69,8,Robust heuristic projection,100,1
70,7,Intuitive incremental protocol,43,2
71,2,Reduced stable approach,12,4
72,5,Business-focused directional analyzer,67,2
73,6,Centralized solution-oriented circuit,73,4
74,7,Progressive methodical flexibility,76,4
75,7,Phased foreground structure,71,4
76,9,Quality-focused uniform secured line,86,4
77,6,Multi-lateral impactful support,84,5
78,7,Streamlined grid-enabled array,1,3
79,5,Pre-emptive non-volatile project,35,5
80,1,Re-engineered systematic approach,9,4
81,6,Ergonomic demand-driven database,90,1
82,8,De-engineered system-worthy superstructure,96,4
83,3,Enhanced fault-tolerant system engine,32,1
84,1,Up-sized value-added challenge,21,3
85,10,Progressive discrete collaboration,100,2
86,8,Fully-configurable needs-based productivity,79,2
87,7,Networked user-facing moratorium,16,2
88,8,Total client-driven intranet,25,3
89,4,Enhanced demand-driven project,55,2
90,7,Public-key intangible definition,21,2
91,9,Versatile modular projection,16,2
92,1,Grass-roots composite complexity,82,2
93,8,Multi-layered zero defect contingency,98,3
94,1,Sharable demand-driven alliance,53,3
95,5,Cloned multimedia toolset,59,3
96,6,Multi-layered impactful synergy,44,5
97,5,Self-enabling 4th generation system engine,3,4
98,5,Seamless directional firmware,79,4
99,6,Profit-focused upward-trending moratorium,87,1
100,10,Front-line human-resource website,8,5
101,8,Vision-oriented needs-based challenge,37,3
102,6,Customizable mobile circuit,64,4
103,10,Business-focused needs-based productivity,98,5
104,3,Compatible interactive methodology,63,1
105,10,Quality-focused interactive attitude,20,1
106,10,Devolved optimizing system engine,92,5
107,9,Horizontal foreground core,76,3
108,10,Cross-group global interface,24,5
109,10,Multi-tiered attitude-oriented functionalities,37,2
110,9,Open-source optimizing matrices,18,1
111,8,Programmable zero tolerance success,20,3
112,5,Phased needs-based frame,10,1
113,8,Optimized encompassing customer loyalty,84,4
114,5,Operative hybrid solution,20,2
115,1,Reactive reciprocal local area network,95,5
116,8,Devolved actuating intranet,58,3
117,9,Multi-channelled mission-critical function,2,5
118,1,Synchronised full-range initiative,52,4
119,5,Enhanced client-server hub,91,2
120,7,Persistent bifurcated protocol,46,5
121,5,Function-based radical system engine,89,4
122,3,Centralized optimizing product,12,5
123,10,Synergistic zero tolerance frame,78,1
124,7,Enhanced interactive circuit,21,2
125,6,Persevering 4th generation budgetary management,16,1
126,3,Synergized user-facing Graphic Interface,65,4
127,10,Sharable content-based focus group,0,3
128,3,Upgradable foreground paradigm,48,5
129,6,Up-sized zero defect product,54,5
130,7,Customizable optimizing interface,48,4
131,4,Distributed zero defect strategy,83,3
132,3,Exclusive context-sensitive array,26,3
133,8,Expanded neutral approach,15,3
134,10,Realigned well-modulated success,73,5
135,6,Ergonomic attitude-oriented knowledge base,65,4
