id,data ,idcliente,idfun
1,2018-04-07,29,14
2,2020-09-11,56,48
3,2020-10-19,89,47
4,2020-12-14,32,21
5,2017-07-09,7,17
6,2019-12-22,63,44
7,2017-12-10,96,34
8,2020-02-11,32,30
9,2018-11-03,22,5
10,2020-10-24,74,27
11,2020-07-21,5,19
12,2020-11-25,86,4
13,2019-03-15,90,19
14,2021-07-30,10,11
15,2020-05-14,83,27
16,2019-02-08,96,41
17,2019-03-20,7,21
18,2019-12-16,70,14
19,2019-01-24,11,22
20,2017-08-17,93,20
21,2017-09-03,84,5
22,2018-09-14,18,31
23,2020-05-23,49,44
24,2019-11-10,78,14
25,2020-05-29,33,42
26,2019-06-21,3,28
27,2021-06-29,77,21
28,2018-02-03,23,4
29,2018-04-06,9,8
30,2017-08-11,72,11
31,2017-07-12,29,1
32,2020-03-07,62,1
33,2021-09-02,60,49
34,2017-11-17,19,23
35,2017-11-23,31,8
36,2020-03-16,52,46
37,2018-12-19,22,7
38,2017-08-11,55,17
39,2021-10-23,32,28
40,2021-08-31,73,49
41,2018-12-29,25,7
42,2020-12-17,17,30
43,2019-10-21,80,42
44,2017-08-14,100,40
45,2020-09-14,52,19
46,2020-05-21,100,21
47,2019-11-07,31,17
48,2019-06-26,52,31
49,2021-04-05,3,27
50,2020-06-16,54,37
51,2019-12-14,78,16
52,2018-02-06,49,7
53,2018-08-03,22,4
54,2021-05-02,10,48
55,2021-06-07,48,48
56,2019-05-28,50,33
57,2020-12-26,41,46
58,2018-10-07,28,14
59,2021-04-23,20,49
60,2018-08-22,42,27
61,2017-08-24,73,2
62,2018-11-20,11,42
63,2021-02-06,57,7
64,2019-04-28,10,37
65,2021-07-10,5,19
66,2018-09-26,90,39
67,2018-09-18,62,24
68,2018-05-12,96,45
69,2018-08-13,23,8
70,2021-04-28,54,31
71,2021-10-22,84,29
72,2017-07-28,19,20
73,2019-04-17,57,47
74,2017-08-17,1,11
75,2019-01-28,9,14
76,2019-06-07,73,42
77,2017-12-21,57,48
78,2018-03-31,56,45
79,2020-09-20,41,41
80,2020-04-08,67,27
81,2021-03-27,92,17
82,2020-08-05,35,50
83,2020-10-09,76,14
84,2019-01-21,94,38
85,2020-06-07,16,49
86,2018-03-11,70,25
87,2018-07-27,45,47
88,2017-12-19,25,14
89,2021-09-20,17,49
90,2021-08-16,19,27
91,2020-01-30,74,14
92,2020-01-17,7,19
93,2021-01-16,65,43
94,2017-11-29,22,13
95,2021-09-18,38,29
96,2019-01-12,54,11
97,2018-10-06,9,40
98,2019-09-28,14,6
99,2019-01-20,93,27
100,2017-07-12,36,11
101,2018-05-28,74,20
102,2018-11-10,73,4
103,2018-03-10,34,44
104,2018-11-29,63,7
105,2019-09-10,19,5
106,2020-08-16,28,8
107,2017-10-28,48,34
108,2018-03-27,47,23
109,2018-03-08,38,8
110,2019-10-24,37,50
111,2017-09-02,37,9
112,2021-04-27,65,38
113,2018-04-06,100,22
114,2020-05-21,8,24
115,2020-10-30,73,33
116,2021-05-03,100,15
117,2021-09-04,82,20
118,2017-11-29,88,24
119,2018-10-25,78,24
120,2018-04-06,46,29
121,2018-12-21,46,42
122,2017-11-08,82,5
123,2021-06-10,82,36
124,2020-02-04,5,12
125,2020-08-09,84,34
126,2021-02-03,28,44
127,2020-08-16,11,25
128,2019-12-25,66,16
129,2018-11-15,68,40
130,2020-10-18,83,14
131,2017-08-19,51,23
132,2021-07-29,98,12
133,2017-11-24,74,13
134,2018-06-15,36,3
135,2018-12-25,65,26
136,2020-12-09,64,35
137,2021-07-17,89,22
138,2017-07-12,28,41
139,2021-10-11,41,48
140,2020-01-21,6,17
141,2018-02-24,40,20
142,2019-01-31,73,26
